qid,enTitle,pageviews_30d_en,sitelinks
Q11494842,Shige_Sakakura,37258,3
Q9588,Richard_Nixon,37110,154
Q205314,Janet_Leigh,37018,61
Q1047,Jawaharlal_Nehru,36815,151
Q1021243,Michael_Rockefeller,36783,26
Q1354960,Mohamed_Salah,36778,95
Q469954,Austin_Butler,36747,49
Q874777,Oliver_Glasner,36624,29
Q12003,Cher,36426,100
Q712860,Chris_Martin,36342,67
Q5126034,Clara_Peller,36341,2
Q39476,Emma_Watson,36225,119
Q44963860,Nathan_Broadhead,36161,14
Q36215,Mark_Zuckerberg,36152,140
Q20830731,Isabela_Merced,36021,44
Q375590,Rami_Malek,35985,73
Q7421228,Saqib_Saleem,35742,9
Q2715122,Kevin_Von_Erich,35738,16
Q19561225,Lip-Bu_Tan,35735,6
Q15935,Kanye_West,35718,91
Q22327439,Arjun_Tendulkar,35366,11
Q104639732,Kash_Patel,35338,27
Q64743838,Graham_Mertz,35330,2
Q296774,Mark_Harmon,35296,49
Q185140,Joaquin_Phoenix,35262,81
Q1028020,Iñigo_Martínez,35114,41
Q13560902,Kimberly_Guilfoyle,35109,20
Q92759,Larry_Ellison,34998,65
Q134895,Javier_Bardem,34789,73
Q15696586,Liza_Soberano,34689,28
Q1713263,June_Diane_Raphael,34634,20
Q40791,Sandra_Bullock,34598,113
Q120798280,Pamela_A._Smith,34535,2
Q18630978,Nicole_Mitchell_(politician),34463,3
Q724791,Jack_Osbourne,34381,18
Q228699,Sharon_Tate,34301,59
Q55346754,Odessa_A'zion,34275,16
Q106993197,Jaxson_Dart,34227,3
Q7228528,Pooja_Pal,34206,5
Q212064,Channing_Tatum,34176,62
Q210172,Kevin_Jonas,34155,46
Q180272,Gary_Sinise,34144,70
Q6162843,Jason_Kelce,33999,14
Q20117554,David_Baszucki,33888,32
Q7913444,Van_Hunt,33883,3
Q467502,Celia_Imrie,33797,24
Q80046,Charlize_Theron,33757,100
Q384521,Katherine_Kelly_(actress),33663,17
Q216936,Sean_Combs,33638,61
Q40248,Julie_Bowen,33571,46
Q3519611,Shobana,33546,29
Q4914,Jimmy_Kimmel,33531,48
Q131814,Tina_Turner,33306,99
Q51552,Roman_Polanski,33230,93
Q16224046,Phoebe_Waller-Bridge,33226,41
Q123289726,Franco_Mastantuono,33214,34
Q65161168,Sophie_Cunningham_(basketball),33123,13
Q39666,Penélope_Cruz,33105,103
Q5302114,Douglas_Wilson_(theologian),33041,2
Q2412965,Kerry_Von_Erich,32993,18
Q169982,Gerard_Butler,32946,66
Q3874799,Volodymyr_Zelenskyy,32405,171
Q67701,Anna_Kendrick,32350,69
Q214309,Sam_Neill,32234,55
Q351849,Tony_Todd,32161,40
Q42097340,Will_Still,32110,15
Q356287,Balthazar_Getty,32041,24
Q862460,Bill_Skarsgård,31566,46
Q23727272,Reba_Monica_John,31475,5
Q15441200,James_Altucher,31472,7
Q16212482,Odell_Beckham_Jr.,31449,18
Q164119,Mark_Wahlberg,31373,89
Q265898,Consuelo_Vanderbilt,31355,19
Q83163,Srinivasa_Ramanujan,31253,97
Q9253718,Emma_Hauck,31201,7
Q3273772,Mabel_King,31196,9
Q115411205,Joy_Sunday,31002,11
Q124488286,Premanand_Govind_Sharan,30901,9
Q6990685,Nelson_Peltz,30701,6
Q503706,Chris_Pratt,30636,122
Q511554,Anthony_Mackie,30560,53
Q232187,Alex_Kingston,30478,30
Q290091,Jaime_Ray_Newman,30406,24
Q1044554,Caroline_Schermerhorn_Astor,30246,13
Q16762720,Kiara_Advani,30118,46
Q2362238,Mandell_Creighton,30040,11
Q28039572,Babou_Ceesay,30025,5
Q568295,Liz_Cambage,29940,20
Q298347,Nicholas_Hoult,29898,72
Q6833334,Michael_Page,29724,17
Q125960766,Hurra-yi_Khuttali,29667,5
Q365456,Dennis_Rader,29641,31
Q377808,Bhagat_Singh,29601,44
Q4765271,Anirudh_Ravichander,29582,18
Q230534,Rebecca_Hall,29537,55
Q713479,Jimmy_Savile,29466,27
Q180710,Anna_Nicole_Smith,29415,59
Q56604143,Josh_Safdie,29340,4
Q1270178,George_Will,29275,17
Q151754,Anne,_Princess_Royal,29251,64
Q56190,Carol_Robinson,29174,16
Q22951255,Marcus_Rashford,29170,74
Q19190,Rupert_Grint,29025,81
Q174311,Christopher_Reeve,29011,69
Q109616277,Dewald_Brevis,28998,8
Q363386,Dermot_Mulroney,28977,47
Q25132,Paul_Thomas_Anderson,28909,50
Q5255204,Demetress_Bell,28608,3
Q180560,Philip_Seymour_Hoffman,28600,91
Q61986758,Mason_Greenwood,28579,46
Q59974163,Nicholas_Alahverdian,28497,4
Q99399800,Joe_Milton,28490,2
Q64514634,Sha'Carri_Richardson,28415,35
Q348603,Howard_Stern,28382,36
Q23760,Rowan_Atkinson,28345,112
Q113639172,Gabriel_Diallo,28300,14
Q333468,Robert_Maxwell,28291,29
Q13217306,Lily_James,28228,54
Q2153,Subhas_Chandra_Bose,28204,67
Q264840,Vera_Farmiga,27849,63
Q126740967,Monisha_Blessy,27713,5
Q236738,Jami_Gertz,27565,28
Q34460,Gwyneth_Paltrow,27336,119
Q30161386,Scottie_Scheffler,26972,23
Q7149475,Paul_Boyd_(animator),26859,3
Q229775,Bryce_Dallas_Howard,26765,55
Q16473,Steve_Martin,26625,56
Q187165,Dave_Mustaine,26440,57
Q44430,Vince_McMahon,26398,50
Q3052772,Emmanuel_Macron,26211,162
Q311314,Sam_Elliott,26151,42
Q15897,Amy_Winehouse,26115,109
Q40096,Will_Smith,26102,112
Q267138,Yahoo_Serious,26025,9
Q692,William_Shakespeare,25812,231
Q17466583,Naomi_Osaka,25743,73
Q107327502,Skylar_Thompson,25736,7
Q2063696,Y._S._Rajasekhara_Reddy,25683,16
Q323166,Sterling_Hayden,25536,42
Q6272488,Jonathan_Bailey,25404,31
Q4699624,Ajay_(actor),25371,6
Q331759,Michael_Hutchence,25292,33
Q97749941,Ted_Jorgensen,25197,1
Q310295,Dick_Van_Dyke,25076,49
Q311467,Ronan_Keating,25007,44
Q113889275,Nishesh_Basavareddy,24933,9
Q266340,Loni_Anderson,24895,38
Q16236656,Josh_Windass,24877,13
Q64861182,Roman_Dolidze,24814,12
Q49561427,Bryan_Mbeumo,24446,33
Q467112,Nicola_Sturgeon,24329,65
Q7148956,Paul_A._Engelmayer,24193,2
Q123385238,Junior_MGR,24167,2
Q366584,George_Strait,24150,36
Q3028907,Max_Scherzer,24128,16
Q925099,Sleepy_Floyd,24084,12
Q20740797,Armand_Duplantis,24014,47
Q18684838,Shelby_Blackstock,24001,4
Q1968845,Stanley_Lord,23921,12
Q272977,Robert_Patrick,23873,49
Q145424,Enrique_Gil,23864,16
Q28445512,Eberechi_Eze,23833,37
Q108391363,TreVeyon_Henderson,23691,3
Q3932901,Adebayo_Akinfenwa,23683,35
Q131841966,May_Mailman,23663,1
Q337617,Erik_Lamela,23637,52
Q3297814,Tom_Golisano,23637,6
Q38668675,Kseniya_Alexandrova,23546,5
Q483837,Luka_Modrić,23399,101
Q105007708,Adarsh_Gourav,23246,5
Q7273868,R._N._Kao,23096,4
Q318965,Fred_Haise,23005,35
Q5834021,Enriqueta_Duarte,22974,4
Q105970574,Katie_Thurston,22961,2
Q6147586,Jamie_Vardy,22960,63
Q2267027,Rachel_Campos-Duffy,22929,8
Q230303,Caroline_Kennedy,22844,41
Q254947,Riley_Keough,22627,39
Q23448791,Aryna_Sabalenka,22619,47
Q100742942,James_Talarico,22614,3
Q207197,Gene_Simmons,22610,45
Q162389,Tony_Curtis,22575,74
Q20745071,Nordi_Mukiele,22486,34
Q17158653,Kentaro_Sakaguchi,22426,13
Q3817038,Kristian_Nairn,22412,20
Q409,Bob_Marley,22375,133
Q364194,Marwan_Barghouti,22280,31
